evaluation_window,window_start_s,window_end_s,window_duration_s,metric,value,unit,sample_count,topic,fields
raw_flight_3,38.22,58.22,20,RMS horizontal velocity,0.378909135,m/s,2397,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_3,38.22,58.22,20,Peak absolute X velocity,0.903481857,m/s,2397,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
raw_flight_3,38.22,58.22,20,Peak absolute Y velocity,0.793246356,m/s,2397,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
raw_flight_3,38.22,58.22,20,Maximum absolute pitch rate,27.6273842,rad/s,1997,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
raw_flight_3,38.22,58.22,20,P99 absolute pitch rate,2.8131637,rad/s,1997,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
raw_flight_3,38.22,58.22,20,P99 absolute yaw rate,534.010279,degrees/s,1753,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> unwrapped yaw; retained header.stamp finite-difference derivative
raw_flight_3,38.22,58.22,20,Minimum roll angle,-173.334855,degrees,2397,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_3,38.22,58.22,20,Maximum roll angle,10.8891289,degrees,2397,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_3,38.22,58.22,20,Peak absolute roll angle,173.334855,degrees,2397,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_3,38.22,58.22,20,Minimum relative pitch angle,-8.76125879,degrees,2397,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
raw_flight_3,38.22,58.22,20,Maximum relative pitch angle,58.5620166,degrees,2397,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
raw_flight_3,38.22,58.22,20,Maximum absolute pitch angle,58.5303264,degrees,2397,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
raw_flight_3,38.22,58.22,20,Maximum absolute yaw excursion,48.4615265,degrees,2397,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
raw_flight_3,38.22,58.22,20,Yaw range,54.6987172,degrees,2397,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
raw_flight_3,38.22,58.22,20,Median horizontal velocity,0.346888709,m/s,2397,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_3,38.22,58.22,20,P95 horizontal velocity,0.579132249,m/s,2397,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_3,38.22,58.22,20,Percentage of time with horizontal velocity below 0.1 m/s,1.00125156,%,2397,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_4,36.97,56.97,20,Peak horizontal velocity,0.878517098,m/s,2399,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_4,36.97,56.97,20,RMS horizontal velocity,0.400473761,m/s,2399,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_4,36.97,56.97,20,Peak absolute X velocity,0.655990839,m/s,2399,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
raw_flight_4,36.97,56.97,20,Peak absolute Y velocity,0.742272093,m/s,2399,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
raw_flight_4,36.97,56.97,20,Maximum absolute pitch rate,2.95141293,rad/s,1996,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
raw_flight_4,36.97,56.97,20,P99 absolute pitch rate,1.7806649,rad/s,1996,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
raw_flight_4,36.97,56.97,20,P99 absolute yaw rate,252.017947,degrees/s,1708,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> unwrapped yaw; retained header.stamp finite-difference derivative
raw_flight_4,36.97,56.97,20,Minimum roll angle,-7.74451957,degrees,2401,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_4,36.97,56.97,20,Maximum roll angle,10.7188542,degrees,2401,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_4,36.97,56.97,20,Peak absolute roll angle,10.7188542,degrees,2401,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_4,36.97,56.97,20,Minimum relative pitch angle,-10.1692168,degrees,2401,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
raw_flight_4,36.97,56.97,20,Maximum relative pitch angle,8.24407935,degrees,2401,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
raw_flight_4,36.97,56.97,20,Maximum absolute pitch angle,10.6695387,degrees,2401,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
raw_flight_4,36.97,56.97,20,Maximum absolute yaw excursion,9.17204947,degrees,2401,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
raw_flight_4,36.97,56.97,20,Yaw range,12.0467606,degrees,2401,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
raw_flight_4,36.97,56.97,20,Median horizontal velocity,0.367537166,m/s,2399,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_4,36.97,56.97,20,P95 horizontal velocity,0.602024346,m/s,2399,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_4,36.97,56.97,20,Percentage of time with horizontal velocity below 0.1 m/s,0.33347228,%,2399,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
