evaluation_window,window_start_s,window_end_s,window_duration_s,metric,value,unit,sample_count,topic,fields
raw_flight_2,37.1,57.1,20,RMS horizontal velocity,1.94202763,m/s,2400,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_2,37.1,57.1,20,Peak absolute X velocity,0.557634912,m/s,2400,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
raw_flight_2,37.1,57.1,20,Peak absolute Y velocity,4.16247964,m/s,2400,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
raw_flight_2,37.1,57.1,20,Maximum absolute pitch rate,2.55796702,rad/s,1998,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
raw_flight_2,37.1,57.1,20,P99 absolute pitch rate,1.97309579,rad/s,1998,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
raw_flight_2,37.1,57.1,20,Minimum roll angle,-4.34786226,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_2,37.1,57.1,20,Maximum roll angle,4.31871106,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_2,37.1,57.1,20,Peak absolute roll angle,4.34786226,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_2,37.1,57.1,20,Minimum relative pitch angle,-27.1043293,degrees,2400,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
raw_flight_2,37.1,57.1,20,Maximum relative pitch angle,27.7431707,degrees,2400,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
raw_flight_2,37.1,57.1,20,Maximum absolute pitch angle,27.7114118,degrees,2400,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
raw_flight_2,37.1,57.1,20,Maximum absolute yaw excursion,2.52396362,degrees,2400,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
raw_flight_2,37.1,57.1,20,Yaw range,4.74330357,degrees,2400,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
raw_flight_3,37.42,57.42,20,Peak horizontal velocity,3.25595888,m/s,2400,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_3,37.42,57.42,20,RMS horizontal velocity,1.78499928,m/s,2400,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_3,37.42,57.42,20,Peak absolute X velocity,0.319423886,m/s,2400,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
raw_flight_3,37.42,57.42,20,Peak absolute Y velocity,3.25503039,m/s,2400,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
raw_flight_3,37.42,57.42,20,Maximum absolute pitch rate,1.78615869,rad/s,1998,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
raw_flight_3,37.42,57.42,20,P99 absolute pitch rate,1.22648382,rad/s,1998,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
raw_flight_3,37.42,57.42,20,Minimum roll angle,-1.95394093,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_3,37.42,57.42,20,Maximum roll angle,3.56758366,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_3,37.42,57.42,20,Peak absolute roll angle,3.56758366,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_3,37.42,57.42,20,Minimum relative pitch angle,-19.4175706,degrees,2400,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
raw_flight_3,37.42,57.42,20,Maximum relative pitch angle,18.3226448,degrees,2400,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
raw_flight_3,37.42,57.42,20,Maximum absolute pitch angle,19.5928699,degrees,2400,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
raw_flight_3,37.42,57.42,20,Maximum absolute yaw excursion,3.93311963,degrees,2400,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
raw_flight_3,37.42,57.42,20,Yaw range,4.0827066,degrees,2400,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
raw_flight_4,31.98,51.98,20,Peak horizontal velocity,3.13220709,m/s,2393,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_4,31.98,51.98,20,RMS horizontal velocity,1.77554305,m/s,2393,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
raw_flight_4,31.98,51.98,20,Peak absolute X velocity,0.340586788,m/s,2393,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
raw_flight_4,31.98,51.98,20,Peak absolute Y velocity,3.13201844,m/s,2393,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
raw_flight_4,31.98,51.98,20,Maximum absolute pitch rate,2.58061861,rad/s,1997,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
raw_flight_4,31.98,51.98,20,P99 absolute pitch rate,1.6243307,rad/s,1997,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
raw_flight_4,31.98,51.98,20,Minimum roll angle,-0.909236593,degrees,2395,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_4,31.98,51.98,20,Maximum roll angle,3.67895511,degrees,2395,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
raw_flight_4,31.98,51.98,20,Peak absolute roll angle,3.67895511,degrees,2395,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
