evaluation_window,window_start_s,window_end_s,window_duration_s,metric,value,unit,sample_count,topic,fields
ai_flight_2,38.07,58.07,20,Minimum relative pitch angle,-11.8827189,degrees,2401,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
ai_flight_2,38.07,58.07,20,Maximum relative pitch angle,15.6068152,degrees,2401,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
ai_flight_2,38.07,58.07,20,Maximum absolute pitch angle,15.4597588,degrees,2401,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
ai_flight_2,38.07,58.07,20,Maximum absolute yaw excursion,57.6194159,degrees,2401,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
ai_flight_2,38.07,58.07,20,Yaw range,80.7632133,degrees,2401,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
ai_flight_3,39.44,59.44,20,Peak horizontal velocity,2.13156993,m/s,2393,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
ai_flight_3,39.44,59.44,20,RMS horizontal velocity,1.17208437,m/s,2393,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
ai_flight_3,39.44,59.44,20,Peak absolute X velocity,1.03265226,m/s,2393,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
ai_flight_3,39.44,59.44,20,Peak absolute Y velocity,1.94083249,m/s,2393,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
ai_flight_3,39.44,59.44,20,Maximum absolute pitch rate,1.90239526,rad/s,1995,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
ai_flight_3,39.44,59.44,20,P99 absolute pitch rate,1.04223756,rad/s,1995,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
ai_flight_3,39.44,59.44,20,P99 absolute yaw rate,118.537948,degrees/s,1693,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> unwrapped yaw; retained header.stamp finite-difference derivative
ai_flight_3,39.44,59.44,20,Minimum roll angle,-9.72511139,degrees,2394,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
ai_flight_3,39.44,59.44,20,Maximum roll angle,4.33091316,degrees,2394,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
ai_flight_3,39.44,59.44,20,Peak absolute roll angle,9.72511139,degrees,2394,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
ai_flight_3,39.44,59.44,20,Minimum relative pitch angle,-12.0427325,degrees,2394,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
ai_flight_3,39.44,59.44,20,Maximum relative pitch angle,21.1593328,degrees,2394,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
ai_flight_3,39.44,59.44,20,Maximum absolute pitch angle,20.5219091,degrees,2394,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
ai_flight_3,39.44,59.44,20,Maximum absolute yaw excursion,98.3140826,degrees,2394,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
ai_flight_3,39.44,59.44,20,Yaw range,119.847294,degrees,2394,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
ai_flight_4,36.31,56.31,20,Peak horizontal velocity,2.34533693,m/s,2399,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
ai_flight_4,36.31,56.31,20,RMS horizontal velocity,1.30203175,m/s,2399,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
ai_flight_4,36.31,56.31,20,Peak absolute X velocity,1.98309459,m/s,2399,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
ai_flight_4,36.31,56.31,20,Peak absolute Y velocity,2.27190576,m/s,2399,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
ai_flight_4,36.31,56.31,20,Maximum absolute pitch rate,2.47328935,rad/s,1996,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
ai_flight_4,36.31,56.31,20,P99 absolute pitch rate,1.37839666,rad/s,1996,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
ai_flight_4,36.31,56.31,20,P99 absolute yaw rate,160.125415,degrees/s,1728,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> unwrapped yaw; retained header.stamp finite-difference derivative
ai_flight_4,36.31,56.31,20,Minimum roll angle,-26.8549883,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
ai_flight_4,36.31,56.31,20,Maximum roll angle,7.71727229,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
ai_flight_4,36.31,56.31,20,Peak absolute roll angle,26.8549883,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
ai_flight_4,36.31,56.31,20,Minimum relative pitch angle,-21.7510995,degrees,2400,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
ai_flight_4,36.31,56.31,20,Maximum relative pitch angle,13.5870669,degrees,2400,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
ai_flight_4,36.31,56.31,20,Maximum absolute pitch angle,22.4459335,degrees,2400,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
ai_flight_4,36.31,56.31,20,Maximum absolute yaw excursion,130.182179,degrees,2400,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
